,Magnetic Field (Oe),True Field (Oe)
520,8567.1775,8769.552971569778
521,8546.417,8743.823492080663
522,8525.939,8726.911477502477
523,8505.6,8711.024485397997
524,8484.415,8693.143099861643
525,8463.5135,8646.992152126904
526,8443.4585,8615.767529456662
527,8421.5675,8623.627691546506
528,8401.23,8599.406875133009
529,8381.0335,8580.650786889384
530,8360.5545,8570.367172651666
531,8341.0645,8543.111660660032
532,8319.8795,8517.545938373105
533,8298.5535,8506.483437483206
534,8278.498,8484.133554684666
535,8257.8775,8449.761850756662
536,8245.1675,8397.347862815812
537,8232.3165,8432.57395919943
538,8210.992,8404.916873274547
539,8189.948,8383.271018074027
540,8168.62,8367.384265742467
541,8147.0115,8341.681845931427
542,8125.4025,8324.917259377362
543,8104.7815,8295.395235790555
544,8083.597,8278.402215882976
545,8061.8475,8254.654679858673
546,8042.2165,8231.742785990637
547,8021.4555,8197.253947291305
548,7999.7065,8181.55178026926
549,7979.087,8158.660580649001
550,7957.3375,8141.5843588332045
551,7935.729,8132.757503564323
552,7914.1185,8082.670338454615
553,7894.0635,8057.4773966286375
554,7874.2915,8055.508320595488
555,7852.965,8042.043594203779
556,7831.639,8027.060545210793
557,7811.584,7995.869135199248
558,7791.247,7978.4805838509155
559,7769.9205,7949.548416649303
560,7748.876,7922.796068078118
561,7727.4095,7896.112208537551
562,7707.6375,7886.597273889248
563,7687.016,7859.893320331075
564,7665.125,7841.616061217823
565,7644.223,7818.464867576019
566,7624.1675,7793.484549548535
567,7603.9735,7774.017235735163
568,7582.3655,7745.894429208672
569,7560.473,7724.881255725709
570,7540.2765,7711.538994163841
571,7519.799,7686.335044692635
572,7498.4735,7667.426744047452
573,7477.852,7644.084971309425
574,7456.526,7639.107767506506
575,7436.7535,7600.450359537657
576,7416.6975,7553.811431376695
577,7394.384,7537.291998182325
578,7378.99,7169.4768946742415
579,7367.69,7615.303185827069
580,7349.8955,7513.79782846907
581,7327.4405,7496.087027916973
582,7305.6895,7456.361546926533
583,7285.634,7442.846493391269
584,7264.3075,7425.712567213612
585,7242.8405,7400.690414796237
586,7222.7865,7381.9042346983015
587,7201.3185,7347.211081249882
588,7178.5795,7331.842859589533
589,7157.1125,7314.967559812857
590,7135.646,7287.612585782949
591,7115.308,7267.579757160674
592,7095.535,7240.168349243882
593,7074.068,7218.6960223503165
594,7053.447,7195.834482810236
595,7031.415,7178.331403550626
596,7010.091,7153.3573706667885
597,6989.3305,7135.150062266321
598,6968.427,7112.479556411254
599,6947.806,7097.110473971547
600,6926.903,7081.722083438692
601,6906.141,7047.795932625972
602,6884.6735,7029.657166456192
603,6864.055,7005.555770944594
604,6843.7175,6981.493409363817
605,6822.249,6961.988660179447
606,6800.359,6940.81123622193
607,6779.739,6899.3303232004
608,6758.837,6895.725531359726
609,6738.5005,6876.08798378698
610,6720.1405,6855.480988081754
611,6699.238,6837.572665203824
612,6676.499,6823.955731405057
613,6655.8785,6778.083720517734
614,6636.5295,6768.726383707044
615,6616.0515,6756.036811733406
616,6593.594,6725.698626599336
617,6571.844,6685.168488975774
618,6551.2255,6684.201257617199
619,6531.0285,6658.749518365347
620,6511.115,6624.285056353257
621,6489.9305,6613.9321904869175
622,6480.891,6579.95979338727
623,6470.1565,6601.857220744936
624,6444.593,6567.186042166022
625,6422.1375,6539.903890630425
626,6401.235,6519.825695733223
627,6380.1905,6503.659561311213
628,6359.57,6486.712912972865
629,6338.245,6457.466007549657
630,6317.768,6439.799596592821
631,6297.4295,6418.273390099844
632,6275.397,6396.9990646981505
633,6253.79,6375.636063791948
634,6232.04,6353.835191012347
635,6211.2775,6319.6052149301695
636,6192.0685,6299.501929515931
637,6171.4485,6280.31211289499
638,6149.8405,6260.345297622411
639,6127.95,6243.113144950259
640,6106.482,6201.38195105174
641,6085.579,6188.910571354514
642,6064.6765,6159.860525532355
643,6043.915,6154.231642120085
644,6022.3065,6139.188384897353
645,6001.546,6103.582810816721
646,5981.2085,6088.858052433678
647,5960.1655,6076.171003839583
648,5940.1105,6040.630239074345
649,5919.0655,6022.366880079027
650,5898.163,6003.9933621412365
651,5877.967,5981.443036797236
652,5856.076,5950.55233486302
653,5835.032,5936.473595717831
654,5819.7785,6753.379193366786
655,5806.3615,5148.924727447115
656,5787.0125,5879.285558069906
657,5764.698,5868.203877679317
658,5743.796,5850.231892311379
659,5723.4575,5819.598932681847
660,5701.8485,5796.974301615321
661,5680.5235,5781.097087288395
662,5660.045,5743.000957512416
663,5638.577,5734.044495082769
664,5616.6855,5714.64180948266
665,5596.3485,5674.288311764435
666,5575.587,5658.807089765556
667,5554.119,5642.644523266578
668,5532.794,5628.983163349363
669,5511.326,5598.689569450176
670,5491.129,5572.015414160387
671,5470.0865,5548.824911114768
672,5448.1955,5534.581752430102
673,5427.575,5514.226532014726
674,5406.6725,5485.542006003181
675,5384.9225,5465.767088686574
676,5364.161,5433.481293393755
677,5344.2465,5419.18499858564
678,5323.6265,5399.0105664051025
679,5302.1605,5381.047915086163
680,5280.693,5353.9066366825145
681,5260.072,5333.018480094784
682,5239.5925,5316.583625853491
683,5218.4075,5297.166288407314
684,5197.364,5266.409679771405
685,5175.755,5251.346004360407
686,5165.5865,5256.130957952093
687,5157.113,5208.387919979153
688,5135.645,5212.688922307047
689,5114.318,5177.840741732527
690,5093.6985,5161.7992086506365
691,5070.6785,5146.746288306471
692,5048.6455,5113.227408730573
693,5026.754,5097.214036873899
694,5004.1575,5071.641225959304
