[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,PFO#2_HIGHTEMPSWEEP_300-600K_0p1_0p5_5T__2019-12-30
FILEOPENTIME,11380959.11,12/30/2019,7:12 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,221,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,PFO#2_HIGHTEMPSWEEP_300-600K_0p1_0p5_5T__2019-12-30,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,x,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,rectangular thin film with contacts,SAMPLE_SHAPE
INFO,35.62,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,11445834.32,299.94677734375,5039.757,0.000276884723924682,3.91858350173923E-7,1,4.99626677034896,40.0298881530762,1.99943061313829,11.0300020873547,0.00297233530620082,0.000501856276019069,0.25,-1.01624901715309E-6,0.000276921349654082,-8.2876027837323E-7,294.9993896,294.999939,4745.285,5334.229,60.0079663069102,21.5695328699752,9.25E-6,0,0,0,5985,294.81215,5039.757,,,,,,,,,,,,,,,,,29.445843,,,,,,294.9996643,,,,
,11445839.295,299.978698730469,5613.8695,0.000283092437088659,4.0217453687671E-7,1,4.99626677034896,40.0298881530762,1.99655539053709,11.020002476871,0.00303444604030491,0.000514349527556358,0.25,-8.57044782087196E-7,0.000283129757391605,-6.65347132630137E-7,294.999939,295.0004578,5334.229,5893.51,60.5949693248526,21.4985218607238,9.3E-6,0,0,0,5985,294.81335,5613.8695,,,,,,,,,,,,,,,,,29.064632,,,,,,295.0001984,,,,
,11445844.305,300.034088134766,6178.0965,0.000287951225343898,3.97876749551285E-7,1,4.99626677034896,40.0298881530762,1.99648732354598,11.0300020873547,0.00308633731202784,0.00052367474745695,0.25,-8.23718812786851E-7,0.000287989156949158,-6.28742855125545E-7,294.9995728,295.0004578,5893.51,6462.683,60.3596991405641,21.5044464284821,9.25E-6,0,0,0,5985,294.81395,6178.0965,,,,,,,,,,,,,,,,,29.064632,,,,,,295.0000153,,,,
,11445849.355,299.982849121094,6747.9735,0.000292496118911989,4.8567820808579E-7,1,4.99626677034896,40.0298881530762,1.99668113830939,11.0300020873547,0.00313508025447527,0.000533510360727716,0.25,-6.94774431148802E-7,0.000292534562845413,-4.9672052487846E-7,294.9987183,294.9995728,6462.683,7033.264,59.4209632889678,21.5036780410841,9.25E-6,0,0,0,5985,294.8133,6747.9735,,,,,,,,,,,,,,,,,29.445843,,,,,,294.99914555,,,,
,11445854.345,300.010070800781,7305.8425,0.000295571407931824,5.63961871010031E-7,1,4.99626677034896,40.0298881530762,1.99668191130923,11.020002476871,0.00316869928950092,0.000535321122563494,0.25,-1.05662132593107E-6,0.000295610500872623,-8.56549024066455E-7,294.9987183,294.9989319,7033.264,7578.421,60.5934060678141,21.5046675263762,9.3E-6,0,0,0,5985,294.81255,7305.8425,,,,,,,,,,,,,,,,,29.445843,,,,,,294.9988251,,,,
,11445859.32,299.974945068359,7863.712,0.000300047618471727,5.54161017639569E-7,1,4.99626677034896,40.0298881530762,1.99580725998464,11.0100019350648,0.00321532477534864,0.000543260203469674,0.25,-1.06696516190787E-6,0.00030008730494475,-8.63880764476286E-7,294.9979553,294.9989319,7578.421,8149.003,63.1704352957182,21.4870314467665,9.3E-6,0,0,0,5985,294.81195,7863.712,,,,,,,,,,,,,,,,,29.064632,,,,,,294.9984436,,,,
,11445864.36,300.046997070313,8425.1125,0.000302379068722514,5.8752224394136E-7,1,4.99626677034896,40.0298881530762,1.99701335938168,11.0400026291609,0.00324311121096287,0.000542446058880123,0.25,-1.57476746230045E-6,0.000302419406366623,-1.37018895929877E-6,294.9979553,294.9983521,8149.003,8701.222,60.9287247025641,21.5198130320123,9.3E-6,0,0,0,5985,294.81125,8425.1125,,,,,,,,,,,,,,,,,29.445843,,,,,,294.9981537,,,,
,11445869.305,300.046447753906,8965.467,0.00030590376557625,5.63505174772334E-7,1,4.99626677034896,40.0298881530762,1.99670407283887,11.0100019350648,0.00327884885112583,0.000557831473457908,0.25,-7.39657975108103E-7,0.00030594399572847,-5.32604207405819E-7,294.9982605,294.9983521,8701.222,9229.712,60.7598929424103,21.5134931037877,9.3E-6,0,0,0,5985,294.81235,8965.467,,,,,,,,,,,,,,,,,29.064632,,,,,,294.9983063,,,,
,11445874.225,299.988098144531,9495.794,0.000307779292472057,6.69482611277479E-7,1,4.99626677034896,40.0298881530762,1.99533473777333,11.020002476871,0.00329652813886756,0.000562349568606519,0.25,-6.07142388343285E-7,0.000307819678303326,-3.98818326386594E-7,294.9982605,294.998291,9229.712,9761.876,61.5485561183142,21.4853462358736,9.25E-6,0,0,0,5985,294.80955,9495.794,,,,,,,,,,,,,,,,,29.064632,,,,,,294.99827575,,,,
,11445879.225,299.956390380859,10019.0595,0.000309729082248118,6.81576718837814E-7,1,4.99626677034896,40.0298881530762,1.99414964056725,11.0300020873547,0.00331554967051334,0.000565425609746427,0.25,-6.26295059933736E-7,0.000309769731017064,-4.16671034377549E-7,294.998291,294.9992371,9761.876,10276.243,60.1228656992371,21.4725543602253,9.2E-6,0,0,0,5985,294.80765,10019.0595,,,,,,,,,,,,,,,,,29.445843,,,,,,294.99876405,,,,
