[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,BaCu2PO4H2O__ACMSII_AllCrystalsRandomlyOriented_2-100K_04052022
FILEOPENTIME,3860816882.726,05/04/2022,10:07 am
BYAPP,ACMS II,1.0,1.2
INFO,PPMS ACMS II Option Release 1.0.8 Build 33,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C1,MOTOR_HW_VERSION
INFO,074,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 D0,ACMS_HW_VERSION
INFO,ACMSII183,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,WF181,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,BaCu2PO4H2O__ACMSII_AllCrystalsRandomlyOriented_2-100K_04052022,SAMPLE_MATERIAL
INFO,all crystals randomly in powder capsule,SAMPLE_COMMENT
INFO,12.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
,3860821435.6425,4.0044818499289,-0.042,1.40837393386632E-6,5.97212968698756E-9,0.218889245455107,0.177241300320348,1.41006804447197E-7,5.97931346680465E-10,1.41005775452515E-7,5.38692347204659E-10,1.63351874100789E-10,1.59026031001098E-10,9.98798561096191,1996.80004882813,,,,1,1,5,59904,30,4,1.39762149731874E-7,1.91070235339791E-9,,,1.00886001761884E-8,5.36882639403256E-7,5,0.394605398178101,0.292955458164215,1.07170927538297,,,3.9518,3.97426104545593,4.03623008728027,-0.042,-0.042,0.115184,5,1,3,0,18.7530001576543,1,,,30.7917900085449,35.6793746948242,,,,,,,,,,,,,,,,
,3860821832.43764,4.01977505545685,-0.042,1.39350373248052E-6,3.10640364704837E-9,0.0137313123268091,0.0736569639569252,1.39493195413155E-7,3.10958744400718E-10,1.39493191407239E-7,3.34304661115538E-11,1.66644678807714E-10,2.47036663866377E-10,9.98976135253906,4992,,,,10,1,5,150016,30,5,1.37764413743086E-7,2.56148082750272E-9,,,2.83243555144105E-8,1.3350827025587E-6,5,0.491166979074478,348.792755126953,2.35520291568135,,,3.8496,3.89002370834351,4.1316647529602,-0.042,-0.042,0.114039,5,1,3,0,18.7530001576543,1,,,30.7917900085449,35.6793746948242,,,,,,,,,,,,,,,,
,3860822206.74711,4.09351534256037,-0.042,1.34613494186023E-6,3.20393414253185E-9,2.17090842250564,0.11071910316068,1.34596524828931E-7,3.2035302550695E-10,1.34499922046307E-7,5.0985748560101E-9,4.95863706486872E-10,3.97240705198964E-10,10.0012607574463,9984,,,,10,1,5,299520,30,6,1.33104470023252E-7,7.53444566516774E-9,,,1.38839883105505E-7,2.66618861913617E-6,5,0.735283136367798,340.425048828125,3.95552809965851,,,3.6865,3.86692142486572,4.25028991699219,-0.042,-0.042,0.111783,6,1,3,0,18.7530001576543,1,,,30.7917900085449,36.1681327819824,,,,,,,,,,,,,,,,
sample offset = 26.65 mm,3860822933.47818,6.00226262877238,-0.042,1.40378514225863E-6,7.94957693445144E-8,-0.516530156443159,2.30616610523769,1.40429914411592E-7,7.95248770561292E-9,1.40424207872547E-7,-1.26597986345446E-9,1.06727165236747E-10,1.06589521512469E-10,9.99633979797363,98.9429168701172,,,,10,1,5,5000,50.5050506591797,1,1.39909148132353E-7,-7.19098425439129E-10,,,-1.20837722375425E-10,2.66258257079241E-8,5,0.315524190664291,7.16949415206909,0.141958902682186,,,5.9897,5.99988794326782,6.01096343994141,-0.042,-0.042,0.142069,1,1,3,0,18.7530001576543,1,,,30.7917900085449,35.6793746948242,,,,,,,,,,,,,,,,
,3860823480.4617,6.00061533730558,-0.042,1.42007165212045E-6,1.96895299422825E-8,0.0937664480105156,0.559259315402098,1.42128938587009E-7,1.97064140235114E-9,1.42128748259272E-7,2.32598629345462E-10,1.31958332823562E-10,1.34456862114804E-10,9.99143218994141,499.200012207031,,,,1,1,5,14976,30,2,1.41514551848279E-7,5.59776498883125E-10,,,6.75755797777446E-10,1.35756416623913E-7,5,0.344511538743973,3.92684817314148,0.324291569401753,,,5.9884,5.99218368530273,6.00418996810913,-0.042,-0.042,0.143496,1,1,3,0,18.7530001576543,1,,,30.3030319213867,35.190616607666,,,,,,,,,,,,,,,,
,3860823854.31539,6.00119515414878,-0.042,1.40395342734285E-6,9.78874692010096E-9,0.201846255574221,0.284901945277251,1.40475013154286E-7,9.79430175947967E-10,1.40474141458862E-7,4.94875835504567E-10,1.31926561015098E-10,1.32565378525764E-10,9.99432849884033,998.400024414062,,,,1,1,5,29952,30,3,1.39642462699222E-7,1.16519883533753E-9,,,2.9595249932503E-9,2.68072007374151E-7,5,0.365702748298645,2.70928525924683,0.557463764005328,,,5.9824,5.98914670944214,6.00752639770508,-0.042,-0.042,0.128563,1,1,3,0,18.7530001576543,1,,,30.3030319213867,34.7018585205078,,,,,,,,,,,,,,,,
,3860824234.09968,6.00369057607719,-0.042,1.40387758531294E-6,4.99766743695072E-9,0.0499124905789688,0.145706233642276,1.40556628733242E-7,5.00367905162551E-10,1.40556575400425E-7,1.22444106350506E-10,1.34166960862547E-10,1.3563464839689E-10,9.98798561096191,1996.80004882813,,,,1,1,5,59904,30,4,1.39319679440181E-7,1.49302669805331E-9,,,8.43094273817249E-9,5.35207118161398E-7,5,0.394718438386917,0.268079906702042,1.05998223141839,,,5.9703,5.98357725143433,6.02052593231201,-0.042,-0.042,0.142069,1,1,3,0,18.7530001576543,1,,,29.8142719268799,35.190616607666,,,,,,,,,,,,,,,,
,3860824513.18186,5.983892,-0.042,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0.121083,1,1,3,,18.7330000053644,2,,,30.7917900085449,35.190616607666,,,,,,,,,,,,,,,,
touchdown = 5.26000000536442 mm,3860824686.46457,6.01404146514187,-0.042,1.40569766930608E-6,2.02024810077479E-9,0.109454535702795,0.0630232870005559,1.40713838869514E-7,2.02231868157822E-10,1.40713582108581E-7,2.68811396989892E-10,1.45433403043702E-10,1.28076903118552E-10,9.98976135253906,4992,,,,10,1,5,150016,30,5,1.38957414756138E-7,2.81254931198596E-9,,,3.07479698218263E-8,1.34666799777763E-6,5,0.491263389587402,348.774597167969,2.35855730663874,,,5.9032,5.96170568466186,6.05508804321289,-0.042,-0.042,0.15236,5,1,3,0,18.7330000053644,1,,,29.8142719268799,34.7018585205078,,,,,,,,,,,,,,,,
,3860825060.79457,6.03796127007876,-0.042,1.37583422105101E-6,3.09839874114396E-9,0.109959943043355,0.0915349294924734,1.37566078359337E-7,3.09800815745865E-10,1.37565825018631E-7,2.64011572647491E-10,4.28792687043858E-10,4.39873101419701E-10,10.0012607574463,9984,,,,10,1,5,299520,30,6,1.36198094300938E-7,2.79749139837313E-9,,,4.36681346541016E-8,2.72772732180299E-6,5,0.735372364521027,340.420959472656,3.95619897784999,,,5.7546,5.94175672531128,6.14525127410889,-0.042,-0.042,0.142069,5,1,3,0,18.7330000053644,1,,,29.8142719268799,34.7018585205078,,,,,,,,,,,,,,,,
