[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,PFO#1_HIGHTEMPSWEEP_300-600K_0p1_0p5_5T__2019-12-0
FILEOPENTIME,9564875.73,12/09/2019,6:44 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,221,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,PFO#1_HIGHTEMPSWEEP_300-600K_0p1_0p5_5T__2019-12-0,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,unknown,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,rectangular thin film,SAMPLE_SHAPE
INFO,35.86,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,9726564.27,310.448028564453,1000.176,7.72318357475025E-5,1.67276609745487E-7,1,9.99253354069792,40.0298881530762,1.98917595293223,11.4900009334087,0.00082550458506654,0.000136354387703573,0.25,-5.5887946664907E-7,7.72421922444858E-5,-5.06614547271695E-7,295.0144958,295.021698,1000.176,1000.176,57.8678674212561,21.6432704703957,9.3E-6,0,0,0,5910,294.932,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.0180969,,,,
,9726574.3,312.165618896484,1000.176,7.69338854234227E-5,1.72855546908246E-7,1,9.99253354069792,40.0298881530762,1.98911642510981,11.4800013229251,0.000822538368342244,0.000134420868269666,0.25,-6.88204909087718E-7,7.6944273116436E-5,-6.36156818068998E-7,295.021698,295.0288696,1000.176,1000.176,57.99605449841,21.6472720261251,9.3E-6,0,0,0,5910,294.9242,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.0252838,,,,
,9726584.29,313.771575927734,1000.176,7.66041704711203E-5,1.78936213027305E-7,1,9.99253354069792,40.0298881530762,1.98928295527746,11.4800013229251,0.000818712878567025,0.000135975347645505,0.25,-4.86693184503346E-7,7.66143585608323E-5,-4.34840254203659E-7,295.0288696,295.0381775,1000.176,1000.176,58.4751927806985,21.6456657799687,9.3E-6,0,0,0,5910,294.9138,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.03352355,,,,
,9726594.25,315.506988525391,1000.176,7.64805698255549E-5,1.71451966517124E-7,1,9.99253354069792,40.0298881530762,1.98907603450013,11.4900009334087,0.000817623679078004,0.000133925529567227,0.25,-6.56108991204686E-7,7.64908349275579E-5,-6.04358579804372E-7,295.0381775,295.0464478,1000.176,1000.176,57.8037738826792,21.6459974174753,9.3E-6,0,0,0,5910,294.90005,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.04231265,,,,
,9726604.28,317.217895507812,1000.176,7.61422762955559E-5,1.71706304676235E-7,1,9.99253354069792,40.0298881530762,1.98916865705002,11.4900009334087,0.000814047078476767,0.000133316830371903,0.25,-6.5529270857531E-7,7.61524738995556E-5,-6.03767702092042E-7,295.0464478,295.0570984,1000.176,1000.176,57.7748536274677,21.6473860634004,9.3E-6,0,0,0,5910,294.88285,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.0517731,,,,
,9726614.31,318.884399414063,1000.176,7.60158150496201E-5,1.60075980687368E-7,1,9.99253354069792,40.0298881530762,1.98924617048111,11.4800013229251,0.000812895025231763,0.000132116355974801,0.25,-7.46379210868826E-7,7.60260313653056E-5,-6.94947297170351E-7,295.0570984,295.0680847,1000.176,1000.176,57.6646440062561,21.6460677745723,9.3E-6,0,0,0,5910,294.8634,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.06259155,,,,
,9726624.265,320.581329345703,1000.176,7.60036351263961E-5,1.67561370357115E-7,1,9.99253354069792,40.0298881530762,1.98929126156272,11.4800013229251,0.000812406823242565,0.000134272377655068,0.25,-5.42593587622614E-7,7.60136842094017E-5,-4.91139270225305E-7,295.0680847,295.0792847,1000.176,1000.176,58.0624929225446,21.6489305379534,9.3E-6,0,0,0,5910,294.842,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.0736847,,,,
,9726634.25,322.246124267578,1000.176,7.57832192977583E-5,1.71491952337867E-7,1,9.99253354069792,40.0298881530762,1.98933872221018,11.4800013229251,0.000810014701448637,0.000134200851800024,0.25,-5.11533720611492E-7,7.57931928443117E-5,-4.60219575450678E-7,295.0792847,295.0893555,1000.176,1000.176,57.2746113751599,21.649414902021,9.3E-6,0,0,0,5910,294.81725,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.0843201,,,,
,9726644.265,323.825775146484,1000.176,7.54879567124735E-5,1.81353964021651E-7,1,9.99253354069792,40.0298881530762,1.98911719446063,11.4900009334087,0.000806946687688709,0.000132653160561364,0.25,-6.04205675778364E-7,7.54979292437383E-5,-5.53098114728985E-7,295.0893555,295.1005859,1000.176,1000.176,58.0077789261985,21.6511718860616,9.3E-6,0,0,0,5910,294.7922,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.0949707,,,,
,9726654.265,325.518920898438,1000.176,7.53614872021929E-5,1.75877247119507E-7,1,9.99253354069792,40.0298881530762,1.9890010474229,11.4900009334087,0.000805505064190088,0.000132679968650861,0.25,-5.79167717140198E-7,7.5371401097752E-5,-5.28137274909997E-7,295.1005859,295.1101074,1000.176,1000.176,58.4243869269485,21.6516133123673,9.3E-6,0,0,0,5910,294.7666,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.10534665,,,,
