,Magnetic Field (Oe),True Field (Oe)
1,99920.207,103594.2794
2,99800.207,103469.3954
3,99680.207,103344.5114
4,99560.207,103219.6274
5,99440.207,103094.7434
6,99320.207,102969.8594
7,99200.207,102844.9754
8,99080.207,102720.0914
9,98960.207,102595.2074
10,98840.207,102470.3234
11,98720.207,102345.4394
12,98600.207,102220.5554
13,98480.207,102095.6714
14,98360.207,101970.7874
15,98240.207,101845.9034
16,98120.207,101721.0194
17,98000.207,101596.1354
18,97880.207,101471.2514
19,97760.207,101346.3674
20,97640.207,101221.4834
21,97520.207,101096.5994
22,97400.207,100971.7154
23,97280.207,100846.8314
24,97160.207,100721.9474
25,97040.207,100597.0634
26,96920.207,100472.1794
27,96800.207,100347.2954
28,96680.207,100222.4114
29,96560.207,100097.5274
30,96440.207,99972.64342
31,96320.207,99847.75942
32,96200.207,99722.87542
33,96080.207,99597.99142
34,95960.207,99473.10742
35,95840.207,99348.22342
36,95720.207,99223.33942
37,95600.207,99098.45542
38,95480.207,98973.57142
39,95360.207,98848.68742
40,95240.207,98723.80342
41,95120.207,98598.91942
42,95000.207,98474.03542
43,94880.207,98349.15142
44,94760.207,98224.26742
45,94640.207,98099.38342
46,94520.207,97974.49942
47,94400.207,97849.61542
48,94280.207,97724.73142
49,94160.207,97599.84742
50,94040.207,97474.96342
51,93920.207,97350.07942
52,93800.207,97225.19542
53,93680.207,97100.31142
54,93560.207,96975.42742
55,93440.207,96850.54342
56,93320.207,96725.65942
57,93200.207,96600.77542
58,93080.207,96475.89142
59,92960.207,96351.00742
60,92840.207,96226.12342
61,92720.207,96101.23942
62,92600.207,95976.35542
63,92480.207,95851.47142
64,92360.207,95726.58742
65,92240.207,95601.70342
66,92120.207,95476.81942
67,92000.207,95351.93542
68,91880.207,95227.05142
69,91760.207,95102.16742
70,91640.207,94977.28342
71,91520.207,94852.39942
72,91400.207,94727.51542
73,91280.207,94602.63142
74,91160.207,94477.74742
75,91040.207,94352.86342
76,90920.207,94227.97942
77,90800.207,94103.09542
78,90680.207,93978.21142
79,90560.207,93853.32742
80,90440.207,93728.44342
81,90320.207,93603.55942
82,90200.207,93478.67542
83,90080.207,93353.79142
84,89960.207,93228.90742
85,89840.207,93104.02342
86,89720.207,92979.13942
87,89600.207,92854.25542
88,89480.207,92729.37142
89,89360.207,92604.48742
90,89240.207,92479.60342
91,89120.207,92354.71942
92,89000.207,92229.83542
93,88880.207,92104.95142
94,88760.207,91980.06742
95,88640.207,91855.18342
96,88520.207,91730.29942
97,88400.207,91605.41542
98,88280.207,91480.53142
99,88160.207,91355.64742
100,88040.207,91230.76342
101,87920.207,91105.87942
102,87800.207,90980.99542
103,87680.207,90856.11142
104,87560.207,90731.22742
105,87440.207,90606.34342
106,87320.207,90481.45942
107,87200.207,90356.57542
108,87080.207,90231.69142
109,86960.207,90106.80742
110,86840.207,89981.92342
111,86720.207,89857.03942
112,86600.207,89732.15542
113,86480.207,89607.27142
114,86360.207,89482.38742
115,86240.207,89357.50342
116,86120.207,89232.61942
117,86000.207,89107.73542
118,85880.207,88982.85142
119,85760.207,88857.96742
120,85640.207,88733.08342
121,85520.207,88608.19942
122,85400.207,88483.31542
123,85280.207,88358.43142
124,85160.207,88233.54742
125,85040.207,88108.66342
126,84920.207,87983.77942
127,84800.207,87858.89542
128,84680.207,87734.01142
129,84560.207,87609.12742
130,84440.207,87484.24342
131,84320.207,87359.35942
132,84200.207,87234.47542
133,84080.207,87109.59142
134,83960.207,86984.70742
135,83840.207,86859.82342
136,83720.207,86734.93942
137,83600.207,86610.05542
138,83480.207,86485.17142
139,83360.207,86360.28742
140,83240.207,86235.40342
141,83120.207,86110.51942
142,83000.207,85985.63542
143,82880.207,85860.75142
144,82760.207,85735.86742
145,82640.207,85610.98342
146,82520.207,85486.09942
147,82400.207,85361.21542
148,82280.207,85236.33142
149,82160.207,85111.44742
150,82040.207,84986.56342
151,81920.207,84861.67942
152,81800.207,84736.79542
153,81680.207,84611.91142
154,81560.207,84487.02742
155,81440.207,84362.14342
156,81320.207,84237.25942
157,81200.207,84112.37542
158,81080.207,83987.49142
159,80960.207,83862.60742
160,80840.207,83737.72342
161,80720.207,83612.83942
162,80600.207,83487.95542
163,80480.207,83363.07142
164,80360.207,83238.18742
165,80240.207,83113.30342
166,80120.207,82988.41942
167,80000.207,82863.53542
168,79880.207,82738.65142
169,79760.207,82613.76742
170,79640.207,82488.88342
171,79520.207,82363.99942
172,79400.207,82239.11542
173,79280.207,82114.23142
174,79160.207,81989.34742
175,79040.207,81864.46342
176,78920.207,81739.57942
177,78800.207,81614.69542
178,78680.207,81489.81142
179,78560.207,81364.92742
180,78440.207,81240.04342
181,78320.207,81115.15942
182,78200.207,80990.27542
183,78080.207,80865.39142
184,77960.207,80740.50742
185,77840.207,80615.62342
186,77720.207,80490.73942
187,77600.207,80365.85542
188,77480.207,80240.97142
189,77360.207,80116.08742
190,77240.207,79991.20342
191,77120.207,79866.31942
192,77000.207,79741.43542
193,76880.207,79616.55142
194,76760.207,79491.66742
195,76640.207,79366.78342
196,76520.207,79241.89942
197,76400.207,79117.01542
198,76280.207,78992.13142
199,76160.207,78867.24742
200,76040.207,78742.36342
201,75920.207,78617.47942
202,75800.207,78492.59542
203,75680.207,78367.71142
204,75560.207,78242.82742
205,75440.207,78117.94342
206,75320.207,77993.05942
207,75200.207,77868.17542
208,75080.207,77743.29142
209,74960.207,77618.40742
210,74840.207,77493.52342
211,74720.207,77368.63942
212,74600.207,77243.75542
213,74480.207,77118.87142
214,74360.207,76993.98742
215,74240.207,76869.10342
216,74120.207,76744.21942
217,74000.207,76619.33542
218,73880.207,76494.45142
219,73760.207,76369.56742
220,73640.207,76244.68342
221,73520.207,76119.79942
222,73400.207,75994.91542
223,73280.207,75870.03142
224,73160.207,75745.14742
225,73040.207,75620.26342
226,72920.207,75495.37942
227,72800.207,75370.49542
228,72680.207,75245.61142
229,72560.207,75120.72742
230,72440.207,74995.84342
231,72320.207,74870.95942
232,72200.207,74746.07542
233,72080.207,74621.19142
234,71960.207,74496.30742
235,71840.207,74371.42342
236,71720.207,74246.53942
237,71600.207,74121.65542
238,71480.207,73996.77142
239,71360.207,73871.88742
240,71240.207,73747.00342
241,71120.207,73622.11942
242,71000.207,73497.23542
243,70880.207,73372.35142
244,70760.207,73247.46742
245,70640.207,73122.58342
246,70520.207,72997.69942
247,70400.207,72872.81542
248,70280.207,72747.93142
249,70160.207,72623.04742
250,70040.207,72498.16342
251,69920.207,72373.27942
252,69800.207,72248.39542
253,69680.207,72123.51142
254,69560.207,71998.62742
255,69440.207,71873.74342
256,69320.207,71748.85942
257,69200.207,71623.97542
258,69080.207,71499.09142
259,68960.207,71374.20742
260,68840.207,71249.32342
261,68720.207,71124.43942
262,68600.207,70999.55542
263,68480.207,70874.67142
264,68360.207,70749.78742
265,68240.207,70624.90342
266,68120.207,70500.01942
267,68000.207,70375.13542
268,67880.207,70250.25142
269,67760.207,70125.36742
270,67640.207,70000.48342
271,67520.207,69875.59942
272,67400.207,69750.71542
273,67280.207,69625.83142
274,67160.207,69500.94742
275,67040.207,69376.06342
276,66920.207,69251.17942
277,66800.207,69126.29542
278,66680.207,69001.41142
279,66560.207,68876.52742
280,66440.207,68751.64342
281,66320.207,68626.75942
282,66200.207,68501.87542
283,66080.207,68376.99142
284,65960.207,68252.10742
285,65840.207,68127.22342
286,65720.207,68002.33942
287,65600.207,67877.45542
288,65480.207,67752.57142
289,65360.207,67627.68742
290,65240.207,67502.80342
291,65120.207,67377.91942
292,65000.207,67253.03542
293,64880.207,67128.15142
294,64760.207,67003.26742
295,64640.207,66878.38342
296,64520.207,66753.49942
297,64400.207,66628.61542
298,64280.207,66503.73142
299,64160.207,66378.84742
300,64040.207,66253.96342
301,63920.207,66129.07942
302,63800.207,66004.19542
303,63680.207,65879.31142
304,63560.207,65754.42742
305,63440.207,65629.54342
306,63320.207,65504.65942
307,63200.207,65379.77542
308,63080.207,65254.89142
309,62960.207,65130.00742
310,62840.207,65005.12342
311,62720.207,64880.23942
312,62600.207,64755.35542
313,62480.207,64630.47142
314,62360.207,64505.58742
315,62240.207,64380.70342
316,62120.207,64255.81942
317,62000.207,64130.93542
318,61880.207,64006.05142
319,61760.207,63881.16742
320,61640.207,63756.28342
321,61520.207,63631.39942
322,61400.207,63506.51542
323,61280.207,63381.63142
324,61160.207,63256.74742
325,61040.207,63131.86342
326,60920.207,63006.97942
327,60800.207,62882.09542
328,60680.207,62757.21142
329,60560.207,62632.32742
330,60440.207,62507.44342
331,60320.207,62382.55942
332,60200.207,62257.67542
333,60080.207,62132.79142
334,59960.207,62007.90742
335,59840.207,61883.02342
336,59720.207,61758.13942
337,59600.207,61633.25542
338,59480.207,61508.37142
339,59360.207,61383.48742
340,59240.207,61258.60342
341,59120.207,61133.71942
342,59000.207,61008.83542
343,58880.207,60883.95142
344,58760.207,60759.06742
345,58640.207,60634.18342
346,58520.207,60509.29942
347,58400.207,60384.41542
348,58280.207,60259.53142
349,58160.207,60134.64742
350,58040.207,60009.76342
351,57920.207,59884.87942
352,57800.207,59759.99542
353,57680.207,59635.11142
354,57560.207,59510.22742
355,57440.207,59385.34342
356,57320.207,59260.45942
357,57200.207,59135.57542
358,57080.207,59010.69142
359,56960.207,58885.80742
360,56840.207,58760.92342
361,56720.207,58636.03942
362,56600.207,58511.15542
363,56480.207,58386.27142
364,56360.207,58261.38742
365,56240.207,58136.50342
366,56120.207,58011.61942
367,56000.207,57886.73542
368,55880.207,57761.85142
369,55760.207,57636.96742
370,55640.207,57512.08342
371,55520.207,57387.19942
372,55400.207,57262.31542
373,55280.207,57137.43142
374,55160.207,57012.54742
375,55040.207,56887.66342
376,54920.207,56762.77942
377,54800.207,56637.89542
378,54680.207,56513.01142
379,54560.207,56388.12742
380,54440.207,56263.24342
381,54320.207,56138.35942
382,54200.207,56013.47542
383,54080.207,55888.59142
384,53960.207,55763.70742
385,53840.207,55638.82342
386,53720.207,55513.93942
387,53600.207,55389.05542
388,53480.207,55264.17142
389,53360.207,55139.28742
390,53240.207,55014.40342
391,53120.207,54889.51942
392,53000.207,54764.63542
