,Magnetic Field (Oe),True Field (Oe)
1,89960.207,93228.90742
2,89840.207,93104.02342
3,89720.207,92979.13942
4,89600.207,92854.25542
5,89480.207,92729.37142
6,89360.207,92604.48742
7,89240.207,92479.60342
8,89120.207,92354.71942
9,89000.207,92229.83542
10,88880.207,92104.95142
11,88760.207,91980.06742
12,88640.207,91855.18342
13,88520.207,91730.29942
14,88400.207,91605.41542
15,88280.207,91480.53142
16,88160.207,91355.64742
17,88040.207,91230.76342
18,87920.207,91105.87942
19,87800.207,90980.99542
20,87680.207,90856.11142
21,87560.207,90731.22742
22,87440.207,90606.34342
23,87320.207,90481.45942
24,87200.207,90356.57542
25,87080.207,90231.69142
26,86960.207,90106.80742
27,86840.207,89981.92342
28,86720.207,89857.03942
29,86600.207,89732.15542
30,86480.207,89607.27142
31,86360.207,89482.38742
32,86240.207,89357.50342
33,86120.207,89232.61942
34,86000.207,89107.73542
35,85880.207,88982.85142
36,85760.207,88857.96742
37,85640.207,88733.08342
38,85520.207,88608.19942
39,85400.207,88483.31542
40,85280.207,88358.43142
41,85160.207,88233.54742
42,85040.207,88108.66342
43,84920.207,87983.77942
44,84800.207,87858.89542
45,84680.207,87734.01142
46,84560.207,87609.12742
47,84440.207,87484.24342
48,84320.207,87359.35942
49,84200.207,87234.47542
50,84080.207,87109.59142
51,83960.207,86984.70742
52,83840.207,86859.82342
53,83720.207,86734.93942
54,83600.207,86610.05542
55,83480.207,86485.17142
56,83360.207,86360.28742
57,83240.207,86235.40342
58,83120.207,86110.51942
59,83000.207,85985.63542
60,82880.207,85860.75142
61,82760.207,85735.86742
62,82640.207,85610.98342
63,82520.207,85486.09942
64,82400.207,85361.21542
65,82280.207,85236.33142
66,82160.207,85111.44742
67,82040.207,84986.56342
68,81920.207,84861.67942
69,81800.207,84736.79542
70,81680.207,84611.91142
71,81560.207,84487.02742
72,81440.207,84362.14342
73,81320.207,84237.25942
74,81200.207,84112.37542
75,81080.207,83987.49142
76,80960.207,83862.60742
77,80840.207,83737.72342
78,80720.207,83612.83942
79,80600.207,83487.95542
80,80480.207,83363.07142
81,80360.207,83238.18742
82,80240.207,83113.30342
83,80120.207,82988.41942
84,80000.207,82863.53542
85,79880.207,82738.65142
86,79760.207,82613.76742
87,79640.207,82488.88342
88,79520.207,82363.99942
89,79400.207,82239.11542
90,79280.207,82114.23142
91,79160.207,81989.34742
92,79040.207,81864.46342
93,78920.207,81739.57942
94,78800.207,81614.69542
95,78680.207,81489.81142
96,78560.207,81364.92742
97,78440.207,81240.04342
98,78320.207,81115.15942
99,78200.207,80990.27542
100,78080.207,80865.39142
101,77960.207,80740.50742
102,77840.207,80615.62342
103,77720.207,80490.73942
104,77600.207,80365.85542
105,77480.207,80240.97142
106,77360.207,80116.08742
107,77240.207,79991.20342
108,77120.207,79866.31942
109,77000.207,79741.43542
110,76880.207,79616.55142
111,76760.207,79491.66742
112,76640.207,79366.78342
113,76520.207,79241.89942
114,76400.207,79117.01542
115,76280.207,78992.13142
116,76160.207,78867.24742
