,Magnetic Field (Oe),True Field (Oe)
1,59960.207,62007.90742
2,59840.207,61883.02342
3,59720.207,61758.13942
4,59600.207,61633.25542
5,59480.207,61508.37142
6,59360.207,61383.48742
7,59240.207,61258.60342
8,59120.207,61133.71942
9,59000.207,61008.83542
10,58880.207,60883.95142
11,58760.207,60759.06742
12,58640.207,60634.18342
13,58520.207,60509.29942
14,58400.207,60384.41542
15,58280.207,60259.53142
16,58160.207,60134.64742
17,58040.207,60009.76342
18,57920.207,59884.87942
19,57800.207,59759.99542
20,57680.207,59635.11142
21,57560.207,59510.22742
22,57440.207,59385.34342
23,57320.207,59260.45942
24,57200.207,59135.57542
25,57080.207,59010.69142
26,56960.207,58885.80742
27,56840.207,58760.92342
28,56720.207,58636.03942
29,56600.207,58511.15542
30,56480.207,58386.27142
31,56360.207,58261.38742
32,56240.207,58136.50342
33,56120.207,58011.61942
34,56000.207,57886.73542
35,55880.207,57761.85142
36,55760.207,57636.96742
37,55640.207,57512.08342
38,55520.207,57387.19942
39,55400.207,57262.31542
40,55280.207,57137.43142
41,55160.207,57012.54742
42,55040.207,56887.66342
43,54920.207,56762.77942
44,54800.207,56637.89542
45,54680.207,56513.01142
46,54560.207,56388.12742
47,54440.207,56263.24342
48,54320.207,56138.35942
49,54200.207,56013.47542
50,54080.207,55888.59142
51,53960.207,55763.70742
52,53840.207,55638.82342
53,53720.207,55513.93942
54,53600.207,55389.05542
55,53480.207,55264.17142
56,53360.207,55139.28742
57,53240.207,55014.40342
58,53120.207,54889.51942
59,53000.207,54764.63542
60,52880.207,54639.75142
61,52760.207,54514.86742
62,52640.207,54389.98342
63,52520.207,54265.09942
64,52400.207,54140.21542
65,52280.207,54015.33142
66,52160.207,53890.44742
67,52040.207,53765.56342
68,51920.207,53640.67942
69,51800.207,53515.79542
70,51680.207,53390.91142
71,51560.207,53266.02742
72,51440.207,53141.14342
73,51320.207,53016.25942
74,51200.207,52891.37542
75,51080.207,52766.49142
76,50960.207,52641.60742
77,50840.207,52516.72342
78,50720.207,52391.83942
79,50600.207,52266.95542
80,50480.207,52142.07142
81,50360.207,52017.18742
82,50240.207,51892.30342
83,50120.207,51767.41942
84,50000.207,51668.00309
85,49982.2595,51685.90787
86,49971.1075,51677.70361
87,49952.182,51597.54957
88,49929.1605,51575.74303
89,49901.4785,51590.29624
90,49874.502,51649.20366
91,49850.352,51479.47372
92,49823.801,51439.70526
93,49798.662,51433.618
94,49771.9685,51521.09424
95,49744.1445,51423.78843
96,49719.8535,51343.48887
97,49694.574,51360.29283
98,49668.871,51367.87556
99,49644.58,51245.13571
100,49618.875,51213.291
101,49592.465,51302.33047
102,49567.3245,51194.52193
103,49541.338,51166.57924
104,49515.07,51147.45709
105,49490.9195,51216.36887
106,49466.203,51140.26773
107,49441.346,50981.61985
108,49416.4905,51029.26442
109,49389.373,51059.37091
110,49363.8105,51030.88004
111,49339.66,50991.58982
112,49314.3785,50929.71631
113,49288.109,50878.85692
114,49263.252,50911.50198
115,49241.221,50851.26836
116,49216.506,50873.89953
117,49189.8125,50832.05563
118,49164.248,50779.77649
119,49139.25,50766.22494
120,49115.949,50772.82264
121,49090.3865,50659.52733
122,49064.963,50627.33012
123,49041.5195,50679.83672
124,49015.533,50521.22469
125,48991.8065,50710.70363
126,48967.7985,50604.4975
127,48941.6695,50553.58921
128,48919.074,50616.83598
129,48895.205,50455.54162
130,48870.912,50395.88865
131,48846.199,50431.87643
132,48820.918,50452.30787
133,48797.756,50389.19938
134,48773.748,50390.95691
135,48749.5955,50342.21145
136,48724.031,50398.14578
137,48700.4455,50252.02983
138,48677.5665,50214.13353
139,48652.004,50195.31156
140,48628.135,50138.12517
141,48605.1155,50193.19279
142,48580.4005,50124.92101
143,48556.8145,50196.54403
144,48533.6525,50120.88524
145,48508.6545,50142.17086
146,48484.0825,49963.16394
147,48460.92,50024.23071
148,48438.1815,50043.45626
149,48413.467,50044.43502
150,48388.75,49911.48614
151,48365.0235,49872.9956
152,48342.002,49943.78022
153,48318.8395,49871.11731
154,48293.5605,49804.85183
155,48269.553,49870.05363
156,48248.2265,49761.88001
157,48225.205,49811.19502
158,48200.631,49755.25987
159,48177.75,49811.91651
160,48155.4375,49704.22907
161,48131.5705,49650.02982
162,48108.6895,49516.19748
163,48085.1035,49678.56614
164,48060.5295,49619.53273
165,48036.803,49665.65146
166,48012.934,49510.81149
167,47989.2075,49556.75179
168,47966.6115,49454.91227
169,47943.873,49457.43624
170,47920.287,49508.29039
171,47897.832,49461.74255
172,47874.9515,49372.61246
173,47852.4945,49392.52741
174,47829.758,49345.98124
175,47805.6075,49346.55761
176,47783.293,49319.03762
177,47760.414,49306.16233
178,47736.6855,49189.59124
179,47714.6525,49166.65232
180,47691.635,49269.58033
181,47667.344,49234.47535
182,47645.4515,49157.69958
183,47623.135,49169.56559
184,47599.125,49125.33206
185,47578.084,49134.66244
186,47556.4765,49095.48896
187,47533.738,49026.41537
188,47510.859,49105.46734
189,47486.992,48996.46754
190,47464.8165,48930.49628
191,47443.4885,49007.81848
192,47420.6115,49050.24208
193,47397.875,48944.46575
194,47374.8535,48890.01944
195,47352.539,48939.79368
