,Magnetic Field (Oe),True Field (Oe)
1,79880.207,82738.65142
2,79760.207,82613.76742
3,79640.207,82488.88342
4,79520.207,82363.99942
5,79400.207,82239.11542
6,79280.207,82114.23142
7,79160.207,81989.34742
8,79040.207,81864.46342
9,78920.207,81739.57942
10,78800.207,81614.69542
11,78680.207,81489.81142
12,78560.207,81364.92742
13,78440.207,81240.04342
14,78320.207,81115.15942
15,78200.207,80990.27542
16,78080.207,80865.39142
17,77960.207,80740.50742
18,77840.207,80615.62342
19,77720.207,80490.73942
20,77600.207,80365.85542
21,77480.207,80240.97142
22,77360.207,80116.08742
23,77240.207,79991.20342
24,77120.207,79866.31942
25,77000.207,79741.43542
26,76880.207,79616.55142
27,76760.207,79491.66742
28,76640.207,79366.78342
29,76520.207,79241.89942
30,76400.207,79117.01542
31,76280.207,78992.13142
32,76160.207,78867.24742
33,76040.207,78742.36342
34,75920.207,78617.47942
35,75800.207,78492.59542
36,75680.207,78367.71142
37,75560.207,78242.82742
38,75440.207,78117.94342
39,75320.207,77993.05942
40,75200.207,77868.17542
41,75080.207,77743.29142
42,74960.207,77618.40742
43,74840.207,77493.52342
44,74720.207,77368.63942
45,74600.207,77243.75542
46,74480.207,77118.87142
47,74360.207,76993.98742
48,74240.207,76869.10342
49,74120.207,76744.21942
50,74000.207,76619.33542
51,73880.207,76494.45142
52,73760.207,76369.56742
53,73640.207,76244.68342
54,73520.207,76119.79942
55,73400.207,75994.91542
56,73280.207,75870.03142
57,73160.207,75745.14742
58,73040.207,75620.26342
59,72920.207,75495.37942
60,72800.207,75370.49542
61,72680.207,75245.61142
62,72560.207,75120.72742
63,72440.207,74995.84342
64,72320.207,74870.95942
65,72200.207,74746.07542
66,72080.207,74621.19142
67,71960.207,74496.30742
68,71840.207,74371.42342
69,71720.207,74246.53942
70,71600.207,74121.65542
71,71480.207,73996.77142
72,71360.207,73871.88742
73,71240.207,73747.00342
74,71120.207,73622.11942
75,71000.207,73497.23542
76,70880.207,73372.35142
77,70760.207,73247.46742
78,70640.207,73122.58342
79,70520.207,72997.69942
80,70400.207,72872.81542
81,70280.207,72747.93142
82,70160.207,72623.04742
83,70040.207,72498.16342
84,69920.207,72373.27942
85,69800.207,72248.39542
86,69680.207,72123.51142
87,69560.207,71998.62742
88,69440.207,71873.74342
89,69320.207,71748.85942
90,69200.207,71623.97542
91,69080.207,71499.09142
92,68960.207,71374.20742
93,68840.207,71249.32342
94,68720.207,71124.43942
95,68600.207,70999.55542
96,68480.207,70874.67142
97,68360.207,70749.78742
98,68240.207,70624.90342
99,68120.207,70500.01942
100,68000.207,70375.13542
101,67880.207,70250.25142
102,67760.207,70125.36742
103,67640.207,70000.48342
104,67520.207,69875.59942
105,67400.207,69750.71542
106,67280.207,69625.83142
107,67160.207,69500.94742
108,67040.207,69376.06342
109,66920.207,69251.17942
110,66800.207,69126.29542
111,66680.207,69001.41142
112,66560.207,68876.52742
113,66440.207,68751.64342
114,66320.207,68626.75942
115,66200.207,68501.87542
116,66080.207,68376.99142
117,65960.207,68252.10742
118,65840.207,68127.22342
119,65720.207,68002.33942
120,65600.207,67877.45542
121,65480.207,67752.57142
122,65360.207,67627.68742
123,65240.207,67502.80342
124,65120.207,67377.91942
125,65000.207,67253.03542
126,64880.207,67128.15142
127,64760.207,67003.26742
128,64640.207,66878.38342
129,64520.207,66753.49942
130,64400.207,66628.61542
131,64280.207,66503.73142
132,64160.207,66378.84742
133,64040.207,66253.96342
134,63920.207,66129.07942
135,63800.207,66004.19542
136,63680.207,65879.31142
137,63560.207,65754.42742
138,63440.207,65629.54342
139,63320.207,65504.65942
140,63200.207,65379.77542
141,63080.207,65254.89142
142,62960.207,65130.00742
143,62840.207,65005.12342
144,62720.207,64880.23942
145,62600.207,64755.35542
146,62480.207,64630.47142
147,62360.207,64505.58742
148,62240.207,64380.70342
149,62120.207,64255.81942
150,62000.207,64130.93542
151,61880.207,64006.05142
152,61760.207,63881.16742
153,61640.207,63756.28342
154,61520.207,63631.39942
155,61400.207,63506.51542
156,61280.207,63381.63142
157,61160.207,63256.74742
158,61040.207,63131.86342
159,60920.207,63006.97942
160,60800.207,62882.09542
161,60680.207,62757.21142
162,60560.207,62632.32742
163,60440.207,62507.44342
164,60320.207,62382.55942
165,60200.207,62257.67542
166,60080.207,62132.79142
167,59960.207,62007.90742
168,59840.207,61883.02342
169,59720.207,61758.13942
170,59600.207,61633.25542
171,59480.207,61508.37142
172,59360.207,61383.48742
173,59240.207,61258.60342
174,59120.207,61133.71942
175,59000.207,61008.83542
176,58880.207,60883.95142
177,58760.207,60759.06742
178,58640.207,60634.18342
179,58520.207,60509.29942
180,58400.207,60384.41542
181,58280.207,60259.53142
182,58160.207,60134.64742
183,58040.207,60009.76342
184,57920.207,59884.87942
185,57800.207,59759.99542
186,57680.207,59635.11142
187,57560.207,59510.22742
188,57440.207,59385.34342
189,57320.207,59260.45942
190,57200.207,59135.57542
191,57080.207,59010.69142
192,56960.207,58885.80742
193,56840.207,58760.92342
194,56720.207,58636.03942
195,56600.207,58511.15542
196,56480.207,58386.27142
197,56360.207,58261.38742
198,56240.207,58136.50342
199,56120.207,58011.61942
200,56000.207,57886.73542
201,55880.207,57761.85142
202,55760.207,57636.96742
203,55640.207,57512.08342
204,55520.207,57387.19942
205,55400.207,57262.31542
206,55280.207,57137.43142
207,55160.207,57012.54742
208,55040.207,56887.66342
209,54920.207,56762.77942
210,54800.207,56637.89542
211,54680.207,56513.01142
212,54560.207,56388.12742
213,54440.207,56263.24342
214,54320.207,56138.35942
215,54200.207,56013.47542
216,54080.207,55888.59142
217,53960.207,55763.70742
218,53840.207,55638.82342
219,53720.207,55513.93942
220,53600.207,55389.05542
221,53480.207,55264.17142
222,53360.207,55139.28742
223,53240.207,55014.40342
224,53120.207,54889.51942
225,53000.207,54764.63542
226,52880.207,54639.75142
227,52760.207,54514.86742
228,52640.207,54389.98342
