,Magnetic Field (Oe),True Field (Oe)
1,109880.207,113959.6514
2,109760.207,113834.7674
3,109640.207,113709.8834
4,109520.207,113584.9994
5,109400.207,113460.1154
6,109280.207,113335.2314
7,109160.207,113210.3474
8,109040.207,113085.4634
9,108920.207,112960.5794
10,108800.207,112835.6954
11,108680.207,112710.8114
12,108560.207,112585.9274
13,108440.207,112461.0434
14,108320.207,112336.1594
15,108200.207,112211.2754
16,108080.207,112086.3914
17,107960.207,111961.5074
18,107840.207,111836.6234
19,107720.207,111711.7394
20,107600.207,111586.8554
21,107480.207,111461.9714
22,107360.207,111337.0874
23,107240.207,111212.2034
24,107120.207,111087.3194
25,107000.207,110962.4354
26,106880.207,110837.5514
27,106760.207,110712.6674
28,106640.207,110587.7834
29,106520.207,110462.8994
30,106400.207,110338.0154
31,106280.207,110213.1314
32,106160.207,110088.2474
33,106040.207,109963.3634
34,105920.207,109838.4794
35,105800.207,109713.5954
36,105680.207,109588.7114
37,105560.207,109463.8274
38,105440.207,109338.9434
39,105320.207,109214.0594
40,105200.207,109089.1754
41,105080.207,108964.2914
42,104960.207,108839.4074
43,104840.207,108714.5234
44,104720.207,108589.6394
45,104600.207,108464.7554
46,104480.207,108339.8714
47,104360.207,108214.9874
48,104240.207,108090.1034
49,104120.207,107965.2194
50,104000.207,107840.3354
51,103880.207,107715.4514
52,103760.207,107590.5674
53,103640.207,107465.6834
54,103520.207,107340.7994
55,103400.207,107215.9154
56,103280.207,107091.0314
57,103160.207,106966.1474
58,103040.207,106841.2634
59,102920.207,106716.3794
60,102800.207,106591.4954
61,102680.207,106466.6114
62,102560.207,106341.7274
63,102440.207,106216.8434
64,102320.207,106091.9594
65,102200.207,105967.0754
66,102080.207,105842.1914
67,101960.207,105717.3074
68,101840.207,105592.4234
69,101720.207,105467.5394
70,101600.207,105342.6554
71,101480.207,105217.7714
72,101360.207,105092.8874
73,101240.207,104968.0034
74,101120.207,104843.1194
75,101000.207,104718.2354
76,100880.207,104593.3514
77,100760.207,104468.4674
78,100640.207,104343.5834
79,100520.207,104218.6994
