,Magnetic Field (Oe),True Field (Oe)
1,39998.2245,41278.56182015266
2,39978.465,41309.53033272227
3,39969.2855,41314.58785330152
4,39952.9025,41212.37140351905
5,39930.305,41290.10512840859
6,39904.0355,41258.021165379454
7,39878.33,41137.02966376431
8,39852.7675,41137.81679198958
9,39827.0625,41097.0960029361
10,39801.074,41065.85097909865
11,39775.2305,41131.56485368913
12,39749.9535,41054.466115057556
13,39724.5315,41076.32393462018
14,39698.969,40917.56349204697
15,39672.84,41018.19253545766
16,39646.709,40899.02451122227
17,39620.1585,40906.51196377256
18,39594.4575,40843.16703703886
19,39569.883,40941.247778803634
20,39543.754,40877.8236814809
21,39517.9085,40774.64005625611
22,39493.332,40802.41084192773
23,39469.1815,40764.78721628799
24,39444.469,40676.9121104788
25,39418.625,40708.240164216295
26,39391.082,40746.32054060973
27,39364.8105,40669.16587925373
28,39341.5095,40678.55488655
29,39316.795,40559.52486614572
30,39290.807,40623.25014538339
31,39266.6565,40570.318029686045
32,39242.6485,40587.71548255794
33,39216.379,40464.47383271651
34,39190.533,40453.66209516143
35,39167.5135,40394.710582009786
36,39143.6445,40421.050095769526
37,39118.2225,40402.36493177122
38,39094.213,40374.867450399346
39,39068.086,40410.84853048086
40,39043.371,40361.123864644935
41,39019.3615,40314.22999337891
42,38995.0705,40195.50915249671
43,38970.637,40282.41922128734
44,38945.215,40260.456616760566
45,38921.3455,40224.30104190143
46,38896.7715,40136.56838251528
47,38872.4805,40124.88268972998
48,38847.7655,40138.22251651592
49,38822.3435,40078.55867689899
50,38797.0625,40046.91136238595
51,38773.9005,40086.553896244055
52,38750.033,40016.11981762799
53,38724.33,40016.62517053776
54,38701.0275,40009.471657776405
55,38677.1585,39929.81668012872
56,38651.7365,39902.084100155575
57,38628.8575,39953.35344276526
58,38604.426,39793.095288834265
59,38579.1465,39841.1557969199
60,38556.123,39781.415214124514
61,38531.549,39805.539176807
62,38507.8225,39776.983170737265
63,38484.5195,39655.589553028076
64,38460.5115,39633.42327377386
65,38437.7715,39678.318981476965
66,38414.326,39731.47875053491
67,38389.611,39682.072159070645
68,38365.32,39636.674170693936
69,38342.3005,39642.94196971144
70,38318.715,39616.34615883812
71,38293.434,39564.94402477548
72,38268.4355,39551.77074486887
73,38244.566,39435.57036992912
74,38221.404,39403.8480259753
75,38198.1015,39442.40669265451
76,38174.375,39331.43848682315
77,38151.3555,39383.89711803282
78,38128.4745,39351.90817395251
79,38103.8985,39443.78694264001
80,38079.3265,39341.932387119195
81,38055.3185,39315.05901592049
82,38032.297,39249.5830398634
83,38009.9825,39254.768297809795
84,37985.127,39226.490130195176
85,37960.2715,39235.65116436635
86,37937.8145,39191.672709949664
87,37915.0745,39134.32950603045
88,37893.3265,39145.96604645213
89,37870.0235,39110.990144261865
90,37845.449,39077.09230785334
91,37822.0055,39046.33795707662
92,37798.5605,38959.76998081384
93,37775.963,39007.21541214151
94,37752.5175,38902.33301230677
95,37729.074,38969.368929389995
96,37705.7735,38979.77840018393
97,37682.471,38931.97192640601
98,37659.4495,38861.03396660151
99,37635.8615,38856.68257356526
100,37613.6875,38876.38680680151
101,37591.375,38779.78498104892
102,37567.365,38744.92781208127
103,37543.496,38748.31868293011
104,37521.041,38719.01404499116
105,37498.7265,38707.771311733646
106,37475.9885,38639.91342154532
107,37451.9785,38714.02093217617
108,37430.0875,38680.652734891686
109,37408.7635,38679.907042951556
110,37384.4705,38658.83989712577
111,37361.73,38630.459081890156
112,37338.7105,38502.08239441789
113,37315.9725,38554.079617982214
114,37293.375,38475.39278179464
115,37269.367,38453.47619390203
116,37245.3575,38379.91961751987
117,37222.76,38440.28170802788
118,37201.01,38419.419501861186
119,37178.2735,38346.95351319891
120,37156.949,38268.05851143784
121,37134.633,38331.08605675336
122,37110.6235,38261.12008300016
123,37087.461,38279.66403052219
124,37065.994,38196.30294442616
125,37044.3865,38238.39202592646
126,37021.084,38167.50755930494
127,36999.6175,38140.09264491281
128,36977.4435,38207.234228871115
129,36953.8575,38186.32569460255
130,36931.2615,38076.24982570483
131,36908.24,38024.455172599366
132,36884.5115,37957.55241789476
133,36862.904,38100.43337481769
134,36842.285,38031.24764841302
135,36820.1115,38055.98416136594
136,36797.2325,38014.986224289925
