,Magnetic Field (Oe),True Field (Oe)
1,50000.207,51668.00309403336
2,49982.2595,51685.90787431019
3,49971.1075,51677.70361456376
4,49952.182,51597.549571527175
5,49929.1605,51575.743029327146
6,49901.4785,51590.296244227204
7,49874.502,51649.20366422872
8,49850.352,51479.473715100765
9,49823.801,51439.70525556214
10,49798.662,51433.61799913186
11,49771.9685,51521.09423891611
12,49744.1445,51423.78843159493
13,49719.8535,51343.48887436456
14,49694.574,51360.29283192613
15,49668.871,51367.87556337148
16,49644.58,51245.1357103045
17,49618.875,51213.290995937765
18,49592.465,51302.33046709453
19,49567.3245,51194.52193347514
20,49541.338,51166.57924249164
21,49515.07,51147.457091606375
22,49490.9195,51216.36887014342
23,49466.203,51140.267727446444
24,49441.346,50981.619852434706
25,49416.4905,51029.26442415096
26,49389.373,51059.37091314825
27,49363.8105,51030.8800357231
28,49339.66,50991.58981613363
29,49314.3785,50929.716306634306
30,49288.109,50878.85691788882
31,49263.252,50911.501978648244
32,49241.221,50851.268359594076
33,49216.506,50873.89952985155
34,49189.8125,50832.055632469615
35,49164.248,50779.776494725935
36,49139.25,50766.224940005995
37,49115.949,50772.82264003855
38,49090.3865,50659.52733496835
39,49064.963,50627.33012050785
40,49041.5195,50679.836721113155
41,49015.533,50521.224688930444
42,48991.8065,50710.7036335775
43,48967.7985,50604.497497413635
44,48941.6695,50553.58921253974
45,48919.074,50616.83598108643
46,48895.205,50455.541621850825
47,48870.912,50395.888654837865
48,48846.199,50431.87643369847
49,48820.918,50452.307869950455
50,48797.756,50389.19937805754
51,48773.748,50390.95690775347
52,48749.5955,50342.211448789356
53,48724.031,50398.14578466385
54,48700.4455,50252.02982721137
55,48677.5665,50214.13352804048
56,48652.004,50195.31155877793
57,48628.135,50138.125171036285
58,48605.1155,50193.192794449955
59,48580.4005,50124.921005867494
60,48556.8145,50196.54402691823
61,48533.6525,50120.88524368916
62,48508.6545,50142.17085828359
63,48484.0825,49963.16393877084
64,48460.92,50024.23070851622
65,48438.1815,50043.45626160253
66,48413.467,50044.43501507204
67,48388.75,49911.486137895736
68,48365.0235,49872.99559965935
69,48342.002,49943.78021883429
70,48318.8395,49871.11731153735
71,48293.5605,49804.85183345739
72,48269.553,49870.053628926624
73,48248.2265,49761.880009537206
74,48225.205,49811.1950179101
75,48200.631,49755.259865890635
76,48177.75,49811.91651467285
77,48155.4375,49704.22907060491
78,48131.5705,49650.02981611733
79,48108.6895,49516.19748043071
80,48085.1035,49678.56613749472
81,48060.5295,49619.53272680102
82,48036.803,49665.651457220665
83,48012.934,49510.81148873887
84,47989.2075,49556.75178984864
85,47966.6115,49454.91226936618
86,47943.873,49457.436239413844
87,47920.287,49508.29038545756
88,47897.832,49461.74254613942
89,47874.9515,49372.612460615484
90,47852.4945,49392.52741487744
91,47829.758,49345.98124491905
92,47805.6075,49346.55760824101
93,47783.293,49319.03762239704
94,47760.414,49306.162329408966
95,47736.6855,49189.591236643
96,47714.6525,49166.65231709928
97,47691.635,49269.58033041189
98,47667.344,49234.475350910594
99,47645.4515,49157.69957985268
100,47623.135,49169.56559009754
