,Magnetic Field (Oe),True Field (Oe),Field correction
1,0.169,-2284.1251764362937,2284.2941764362936
2,124.5655,-2317.6139564993564,2442.1794564993565
3,177.67,-1026.4979419038455,1204.1679419038455
4,271.7335,1286.2916870070142,-1014.5581870070141
5,374.5515,3572.6317927361647,-3198.0802927361647
6,489.516,5857.467063433719,-5367.951063433719
7,616.7695,8139.013795431145,-7522.244295431145
8,738.234,10424.054304635778,-9685.820304635778
9,859.9795,12699.297465216216,-11839.317965216216
10,994.013,14977.051876855858,-13983.038876855857
11,1116.4655,17241.52744537838,-16125.061945378378
12,1231.572,19513.311401482624,-18281.739401482624
13,1362.7795,21770.85171103732,-20408.07221103732
14,1484.242,24030.537512513514,-22546.295512513516
15,1606.694,26286.39122048391,-24679.69722048391
16,1726.6035,28536.01516059717,-26809.41166059717
17,1841.428,30774.00999990991,-28932.58199990991
18,1980.122,33013.52040752253,-31033.398407522527
19,2104.6915,35242.49310213385,-33137.80160213385
20,2217.1135,37465.28947319948,-35248.17597319948
21,2342.2485,39682.84938780566,-37340.60088780566
22,2460.8865,41888.53848396139,-39427.65198396139
23,2584.0425,44089.02067215187,-41504.97817215187
24,2707.199,46285.100302604886,-43577.901302604885
25,2829.2265,48472.618313324325,-45643.39181332433
26,2952.3825,50652.59184382239,-47700.20934382239
27,3069.1825,52831.451281510934,-49762.26878151093
28,3185.419,54991.5069479807,-51806.0879479807
29,3303.21,57159.10099905662,-53855.890999056624
30,3425.237,59312.85190329215,-55887.614903292146
31,3541.0485,61470.32346981468,-57929.27496981468
32,3661.5215,63610.68919363707,-59949.167693637064
33,3781.712,65753.78435578635,-61972.07235578635
34,3907.127,67892.31122932304,-63985.18422932304
35,4027.036,70023.87370852251,-65996.83770852251
36,4131.2675,72149.4818826538,-68018.2143826538
37,4250.891,74265.20757786487,-70014.31657786487
38,4380.2615,76382.45432233333,-72002.19282233334
39,4494.52,78485.93172479278,-73991.41172479278
40,4596.7725,80599.88947236679,-76003.11697236678
41,4720.2105,82696.05751922136,-77975.84701922136
42,4833.1985,84790.66579831403,-79957.46729831403
43,4946.6095,86895.5752648417,-81948.96576484169
44,5065.952,88974.94339194594,-83908.99139194594
45,5171.736,91059.49850244273,-85887.76250244273
46,5293.6195,93141.56246555726,-87847.94296555726
47,5410.702,95213.75429669369,-89803.05229669368
48,5517.0505,97280.31800501287,-91763.26750501287
49,5628.6245,99352.44254014414,-93723.81804014414
50,5749.239,101417.8043506538,-95668.5653506538
51,5950.78,103467.11187338996,-97516.33187338997
52,6024.3615,105514.29158356499,-99489.93008356499
53,6242.99,109608.97321861003,-103365.98321861002
54,6313.1825,111646.32333067697,-105333.14083067697
55,6424.1925,113694.6740769189,-107270.4815769189
56,6538.0265,115711.76888502446,-109173.74238502447
57,6662.171,117731.04771802961,-111068.87671802961
58,6765.412,119758.83768738738,-112993.42568738738
59,6972.4585,121784.84192114156,-114812.38342114157
60,7045.3345,123801.56639960875,-116756.23189960876
61,7170.326,125789.05642711198,-118618.73042711198
62,7288.116,127808.71071463062,-120520.59471463063
63,7390.368,129817.35898124194,-122426.99098124194
64,7497.9855,131793.10111041184,-124295.11561041184
65,7619.8685,135785.89949085587,-128166.03099085587
66,7741.612,137745.47119316086,-130003.85919316087
67,7869.569,139736.5799036036,-131867.0109036036
68,7987.216,141700.6214872857,-133713.4054872857
69,8098.6485,143695.80293486745,-135597.15443486744
70,8214.6,145624.90498965638,-137410.30498965638
71,8324.6195,147593.221727982,-139268.602227982
72,8435.064,149548.12572630116,-141113.06172630115
73,8545.225,151498.53476447103,-142953.30976447102
74,8648.7475,153417.9083570579,-144769.1608570579
75,8753.26,155390.75738118275,-146637.49738118274
76,8853.394,157291.3035112574,-148437.9095112574
77,8952.6805,159219.11694582368,-150266.4364458237
78,9057.6155,161158.4447848121,-152100.8292848121
79,9156.619,163057.4906872098,-153900.8716872098
80,9260.8495,164973.5391981287,-155712.6896981287
81,9365.645,166871.8120740386,-157506.16707403862
82,9468.886,168762.7500144839,-159293.8640144839
83,9576.6455,170682.256785574,-161105.61128557398
84,9679.462,172556.5217899202,-162877.0597899202
85,9781.856,174440.88238254053,-164659.02638254053
86,9888.204,176326.08365076577,-166437.87965076577
87,9994.2685,178188.36634618146,-168194.09784618145
88,10096.0975,180059.4094038713,-169963.3119038713
89,10197.2195,181953.61938968985,-171756.39988968984
90,10302.577,183794.36586173874,-173491.78886173875
91,10407.9375,185635.0069350103,-175227.0694350103
92,10788.2745,191125.9871462677,-180337.7126462677
93,10844.7675,192952.0329163166,-182107.2654163166
94,10934.4515,194810.8182125444,-183876.3667125444
95,11025.688,196630.32353003218,-185604.6355300322
96,11126.2455,198445.65933640153,-187319.41383640154
97,11230.1905,200268.86815481982,-189038.67765481982
