,Magnetic Field (Oe),True Field (Oe)
1,69920.207,72373.27942
2,69800.207,72248.39542
3,69680.207,72123.51142
4,69560.207,71998.62742
5,69440.207,71873.74342
6,69320.207,71748.85942
7,69200.207,71623.97542
8,69080.207,71499.09142
9,68960.207,71374.20742
10,68840.207,71249.32342
11,68720.207,71124.43942
12,68600.207,70999.55542
13,68480.207,70874.67142
14,68360.207,70749.78742
15,68240.207,70624.90342
16,68120.207,70500.01942
17,68000.207,70375.13542
18,67880.207,70250.25142
19,67760.207,70125.36742
20,67640.207,70000.48342
21,67520.207,69875.59942
22,67400.207,69750.71542
23,67280.207,69625.83142
24,67160.207,69500.94742
25,67040.207,69376.06342
26,66920.207,69251.17942
27,66800.207,69126.29542
28,66680.207,69001.41142
29,66560.207,68876.52742
30,66440.207,68751.64342
31,66320.207,68626.75942
32,66200.207,68501.87542
33,66080.207,68376.99142
34,65960.207,68252.10742
35,65840.207,68127.22342
36,65720.207,68002.33942
37,65600.207,67877.45542
38,65480.207,67752.57142
39,65360.207,67627.68742
40,65240.207,67502.80342
41,65120.207,67377.91942
42,65000.207,67253.03542
43,64880.207,67128.15142
44,64760.207,67003.26742
45,64640.207,66878.38342
46,64520.207,66753.49942
47,64400.207,66628.61542
48,64280.207,66503.73142
49,64160.207,66378.84742
50,64040.207,66253.96342
51,63920.207,66129.07942
52,63800.207,66004.19542
53,63680.207,65879.31142
54,63560.207,65754.42742
55,63440.207,65629.54342
56,63320.207,65504.65942
57,63200.207,65379.77542
58,63080.207,65254.89142
59,62960.207,65130.00742
60,62840.207,65005.12342
61,62720.207,64880.23942
62,62600.207,64755.35542
63,62480.207,64630.47142
64,62360.207,64505.58742
65,62240.207,64380.70342
66,62120.207,64255.81942
67,62000.207,64130.93542
68,61880.207,64006.05142
69,61760.207,63881.16742
70,61640.207,63756.28342
71,61520.207,63631.39942
72,61400.207,63506.51542
73,61280.207,63381.63142
74,61160.207,63256.74742
75,61040.207,63131.86342
76,60920.207,63006.97942
77,60800.207,62882.09542
78,60680.207,62757.21142
79,60560.207,62632.32742
80,60440.207,62507.44342
81,60320.207,62382.55942
82,60200.207,62257.67542
83,60080.207,62132.79142
84,59960.207,62007.90742
85,59840.207,61883.02342
86,59720.207,61758.13942
87,59600.207,61633.25542
88,59480.207,61508.37142
89,59360.207,61383.48742
90,59240.207,61258.60342
91,59120.207,61133.71942
92,59000.207,61008.83542
93,58880.207,60883.95142
94,58760.207,60759.06742
95,58640.207,60634.18342
96,58520.207,60509.29942
97,58400.207,60384.41542
98,58280.207,60259.53142
99,58160.207,60134.64742
100,58040.207,60009.76342
101,57920.207,59884.87942
102,57800.207,59759.99542
103,57680.207,59635.11142
104,57560.207,59510.22742
105,57440.207,59385.34342
106,57320.207,59260.45942
107,57200.207,59135.57542
108,57080.207,59010.69142
109,56960.207,58885.80742
110,56840.207,58760.92342
111,56720.207,58636.03942
112,56600.207,58511.15542
113,56480.207,58386.27142
114,56360.207,58261.38742
115,56240.207,58136.50342
116,56120.207,58011.61942
117,56000.207,57886.73542
118,55880.207,57761.85142
119,55760.207,57636.96742
120,55640.207,57512.08342
121,55520.207,57387.19942
122,55400.207,57262.31542
123,55280.207,57137.43142
124,55160.207,57012.54742
125,55040.207,56887.66342
126,54920.207,56762.77942
127,54800.207,56637.89542
128,54680.207,56513.01142
129,54560.207,56388.12742
130,54440.207,56263.24342
131,54320.207,56138.35942
132,54200.207,56013.47542
133,54080.207,55888.59142
134,53960.207,55763.70742
135,53840.207,55638.82342
136,53720.207,55513.93942
137,53600.207,55389.05542
138,53480.207,55264.17142
139,53360.207,55139.28742
140,53240.207,55014.40342
141,53120.207,54889.51942
142,53000.207,54764.63542
143,52880.207,54639.75142
144,52760.207,54514.86742
145,52640.207,54389.98342
146,52520.207,54265.09942
147,52400.207,54140.21542
148,52280.207,54015.33142
149,52160.207,53890.44742
150,52040.207,53765.56342
151,51920.207,53640.67942
152,51800.207,53515.79542
153,51680.207,53390.91142
154,51560.207,53266.02742
155,51440.207,53141.14342
156,51320.207,53016.25942
157,51200.207,52891.37542
158,51080.207,52766.49142
159,50960.207,52641.60742
160,50840.207,52516.72342
161,50720.207,52391.83942
162,50600.207,52266.95542
163,50480.207,52142.07142
164,50360.207,52017.18742
165,50240.207,51892.30342
166,50120.207,51767.41942
167,50000.207,51668.00309
168,49982.2595,51685.90787
169,49971.1075,51677.70361
170,49952.182,51597.54957
171,49929.1605,51575.74303
172,49901.4785,51590.29624
173,49874.502,51649.20366
174,49850.352,51479.47372
175,49823.801,51439.70526
176,49798.662,51433.618
177,49771.9685,51521.09424
178,49744.1445,51423.78843
179,49719.8535,51343.48887
180,49694.574,51360.29283
181,49668.871,51367.87556
182,49644.58,51245.13571
183,49618.875,51213.291
184,49592.465,51302.33047
185,49567.3245,51194.52193
186,49541.338,51166.57924
187,49515.07,51147.45709
188,49490.9195,51216.36887
189,49466.203,51140.26773
190,49441.346,50981.61985
191,49416.4905,51029.26442
192,49389.373,51059.37091
193,49363.8105,51030.88004
194,49339.66,50991.58982
195,49314.3785,50929.71631
196,49288.109,50878.85692
197,49263.252,50911.50198
198,49241.221,50851.26836
199,49216.506,50873.89953
200,49189.8125,50832.05563
201,49164.248,50779.77649
202,49139.25,50766.22494
203,49115.949,50772.82264
204,49090.3865,50659.52733
205,49064.963,50627.33012
206,49041.5195,50679.83672
207,49015.533,50521.22469
208,48991.8065,50710.70363
209,48967.7985,50604.4975
210,48941.6695,50553.58921
211,48919.074,50616.83598
212,48895.205,50455.54162
213,48870.912,50395.88865
214,48846.199,50431.87643
215,48820.918,50452.30787
216,48797.756,50389.19938
217,48773.748,50390.95691
